Song,Artist,Title,MoodsStrSplit,SampleURL
MT0000202045,Bob Marley & the Wailers,Exodus,"Bittersweet, Earthy, Gentle, Laid-Back, Mellow, Organic, Outraged, Poignant, Provocative, Soothing, Spiritual, Summery, Sweet",http://rovimusic.rovicorp.com/playback.mp3?c=5EnxyOTu5KsFMfVzaE1YePQIxMnXLaW9NvEpt_rvU6E=&f=J
MT0000203193,Rose Royce,I Wanna Get Next to You,"Agreeable, Calm, Neutral, Dreamy, Optimistic, Positive, Pulsing, Romantic, Sensual, Sentimental, Striding",http://rovimusic.rovicorp.com/playback.mp3?c=KrxUef1bTztd0eR_1YgrFYapJnH0KBK7tayJ1L1z1aM=&f=J
MT0000203272,Jah Mason,Plan Out,"Angry, Bitter, Snide",http://rovimusic.rovicorp.com/playback.mp3?c=91g2VHGr356IHFaAf9xKqPKUU23ZQzDPVjJ3ONioHGo=&f=I
MT0000216849,Rebel Meets Rebel,Get Outta My Life,"Angry, Bitter, Hostile",http://rovimusic.rovicorp.com/playback.mp3?c=BSyv7eK0mpQFh6yXCEt9_ZjWf7KriH64XH0cLbjLrOY=&f=J
MT0000218346,Steven Curtis Chapman,Moment Made for Worshipping,"Innocent, Joyous, Reverent, Spiritual",http://rovimusic.rovicorp.com/playback.mp3?c=GzwIVq43QcSW5CCGdQ6Fg82KXJKuJLE7UG4BJXcyKZ4=&f=J
MT0000235880,"The ""5"" Royales",Let Me Come Back Home,"Gritty, Organic, Sweet",http://rovimusic.rovicorp.com/playback.mp3?c=jwWbLCIDWoppAVGX4eJNkvh0BJxFGWncDvRkmPV4knk=&f=I
MT0000249842,Stars,Set Yourself On Fire,"Detached, Theatrical, Witty",http://rovimusic.rovicorp.com/playback.mp3?c=2Rq9tXL1DtRaHD0pPI2vX_3pqi0RS20pHqZddGAWQOA=&f=J
MT0000255724,Danny Elfman,Signal Fire,"Angst-Ridden, Bleak, Brooding, Cerebral, Literate, Melancholy",http://rovimusic.rovicorp.com/playback.mp3?c=r57aD_kCQvdr5WZgaV8Zcf3pqi0RS20pHqZddGAWQOA=&f=J
MT0000299291,Client,Heartland,"Bleak, Cold, Gloomy, Somber",http://rovimusic.rovicorp.com/playback.mp3?c=sdS4ssKOw9jwxt2kBJrS8pjWf7KriH64XH0cLbjLrOY=&f=J
MT0000300896,Charlie Poole & the North Carolina Ramblers,Jealous Mary,"Circular, Greasy, Messy",http://rovimusic.rovicorp.com/playback.mp3?c=xOrpPowSQeWbQx5v3vfndzqpU4hxl5saPDaNIVORh-E=&f=J
MT0000315392,Michael Franks,When You Smiled At Me,"Indulgent, Lazy, Naive, Precious, Sugary",http://rovimusic.rovicorp.com/playback.mp3?c=4mtKvxwY4MNT_htwJcEiLGjIb8Tr8vVfGLIuM5x_WSg=&f=J
MT0000336135,Dean Martin,Volare (Nel Blu di Pinto di Blu),"Carefree, Cheerful, Confident, Delicate, Elegant, Gentle, Intimate, Light, Lush, Playful, Romantic, Smooth, Soothing, Springlike, Sweet, Warm",http://rovimusic.rovicorp.com/playback.mp3?c=3ksGvFFAT-wJ89cxLhASXGjIb8Tr8vVfGLIuM5x_WSg=&f=J
MT0000348553,The Kingston Trio,Scotch & Soda,"Joyous, Quirky, Rustic, Whimsical",http://rovimusic.rovicorp.com/playback.mp3?c=DGqWnrhs9EtB8hZJwDcEVs2KXJKuJLE7UG4BJXcyKZ4=&f=J
MT0000364027,Secret Garden,Elan,"Explosive, Mystical, Positive, Thrilling",http://rovimusic.rovicorp.com/playback.mp3?c=sNWbZqE7xok5lIBeua5cF2jIb8Tr8vVfGLIuM5x_WSg=&f=J
MT0000369789,Bobby McFerrin,Common Threads,"Calm, Neutral, Delicate, Soothing",http://rovimusic.rovicorp.com/playback.mp3?c=LU0G0OTwRgJt2oK0xR0JPZjWf7KriH64XH0cLbjLrOY=&f=J
MT0000377411,Eyehategod,Take as Needed for Pain,"Angry, Confrontational, Fiery, Hostile, Malevolent, Menacing, Paranoid, Rebellious, Volatile",http://rovimusic.rovicorp.com/playback.mp3?c=NuBIIIQ38Cv6a3Qrh3gQ8KwfpsQHuOlGC4-o-yXc8Os=&f=J
MT0000379144,Lloyd Price,"Lord, Lord, Amen!","Anguished, Distraught, Greasy, Lazy, Naive",http://rovimusic.rovicorp.com/playback.mp3?c=Z8TxtQJpN-nTUzPoDd29CfKUU23ZQzDPVjJ3ONioHGo=&f=J
MT0000392975,Donald Byrd,Bronze Dance,"Lively, Positive, Pulsing, Strong, Swinging",http://rovimusic.rovicorp.com/playback.mp3?c=Pu4bY4rhSzVqhT3dBiqlSDqpU4hxl5saPDaNIVORh-E=&f=J
MT0000414517,Gipsy Kings,Hermanos,"Cathartic, Fiery, Sexy, Spicy",http://rovimusic.rovicorp.com/playback.mp3?c=84KalHHKNpltgzqAGcWdHP3pqi0RS20pHqZddGAWQOA=&f=J
MT0000426771,Einstürzende Neubauten,Schwindel,"Bleak, Cerebral, Detached, Fiery, Harsh, Manic, Menacing, Ominous, Volatile",http://rovimusic.rovicorp.com/playback.mp3?c=gVUmEPgz2qA8Yx6Uifj0Vc2KXJKuJLE7UG4BJXcyKZ4=&f=J
MT0000441552,Gatsbys American Dream,Station 5: The Pearl,"Bitter, Fierce, Outraged",http://rovimusic.rovicorp.com/playback.mp3?c=Ctsjt7ME70WtnTNGaX47Fv3pqi0RS20pHqZddGAWQOA=&f=J
MT0000442827,Dizzy Gillespie,Salt Peanuts,"Energetic, Exuberant, Happy, Lively",http://rovimusic.rovicorp.com/playback.mp3?c=kF1geDDC12D5lIw7F4HNZoapJnH0KBK7tayJ1L1z1aM=&f=J
MT0000446304,Michael Franks,Why Spring Ain't Here,"Indulgent, Lazy, Naive, Precious, Sugary",http://rovimusic.rovicorp.com/playback.mp3?c=38LuuyGH3k-Dn6qzzrX3GpjWf7KriH64XH0cLbjLrOY=&f=J
MT0000456939,Blindside,Come to Rest,"Explosive, Negative, Nervous, Jittery",http://rovimusic.rovicorp.com/playback.mp3?c=MotWU9hXPaL4zZmUB9MgRmjIb8Tr8vVfGLIuM5x_WSg=&f=J
MT0000460427,Tuck & Patti,Body & Soul,"Agreeable, Optimistic, Pure",http://rovimusic.rovicorp.com/playback.mp3?c=7OupL3_ZINGrvmQfIVy3Z_QIxMnXLaW9NvEpt_rvU6E=&f=J
MT0000522789,The Soul Stirrers,My Loved Ones Are Waiting for Me (Waiting and Watching),"Atmospheric, Calm, Neutral, Circular, Exuberant, Hypnotic, Organic, Reverent, Soothing, Spiritual",http://rovimusic.rovicorp.com/playback.mp3?c=mNSWPhb1924xSad9_lI0sfKUU23ZQzDPVjJ3ONioHGo=&f=J
MT0000523076,Eddie Heywood and His Orchestra,Trav'lin' Light,"Brooding, Delicate, Gloomy, Sad, Soft, Quiet, Weary",http://rovimusic.rovicorp.com/playback.mp3?c=FlOokEhir2hj13NlWgiKqPQIxMnXLaW9NvEpt_rvU6E=&f=J
MT0000534539,Anthony Newley,Who Can I Turn To (When Nobody Needs Me),"Angst-Ridden, Anguished, Distraught, Bleak, Gloomy, Indulgent, Sad",http://rovimusic.rovicorp.com/playback.mp3?c=YLC0B379rCN-orCAEe-bwvQIxMnXLaW9NvEpt_rvU6E=&f=J
MT0000540286,Louis Armstrong,Put 'Em Down Blues,"Cheerful, Exciting, Gleeful, Happy, Joyous, Rambunctious",http://rovimusic.rovicorp.com/playback.mp3?c=SVIHk6X9-V2NR6m9tdS5L_KUU23ZQzDPVjJ3ONioHGo=&f=J
MT0000550961,John Denver,Four Strong Winds,"Agreeable, Lonely, Nostalgic, Pure, Sad, Serious",http://rovimusic.rovicorp.com/playback.mp3?c=a4I3I64aP5PPifzMJxRWNc2KXJKuJLE7UG4BJXcyKZ4=&f=J
MT0000636335,Olu Dara,Mami Wata,"Atmospheric, Ethereal, Organic, Reverent",http://rovimusic.rovicorp.com/playback.mp3?c=wMG2G62RbMbxwnEW6ZAP8_3pqi0RS20pHqZddGAWQOA=&f=J
MT0000661250,Alexis Korner,The Love You Save,"Lonely, Pure, Sad",http://rovimusic.rovicorp.com/playback.mp3?c=laH_Q4pM1RywBbMMogkgCzqpU4hxl5saPDaNIVORh-E=&f=I
MT0000661847,Vince Gill,Let There Be Peace on Earth,"Precious, Reserved, Reverent, Soft, Quiet, Somber, Soothing, Spiritual",http://rovimusic.rovicorp.com/playback.mp3?c=tkoWL0bsMQd2KAr-x_G6Svh0BJxFGWncDvRkmPV4knk=&f=J
MT0000664362,"Harry Connick, Jr.",Hello Dolly,"Bravado, Celebratory, Earthy, Energetic, Exuberant, Freewheeling, Fun, Happy, Joyous, Lively, Passionate, Playful, Rollicking, Romantic, Sensual",http://rovimusic.rovicorp.com/playback.mp3?c=tDjs0ARFoGwt68ScgNz0aP3pqi0RS20pHqZddGAWQOA=&f=J
MT0000698081,NDR Bigband,Polka Dots And Moonbeams,"Agreeable, Calm, Neutral, Nostalgic, Positive, Pulsing",http://rovimusic.rovicorp.com/playback.mp3?c=bws5wVq0jxcLFfgSHgNZEGjIb8Tr8vVfGLIuM5x_WSg=&f=J
MT0000711493,Vicentico,Cuidado,"Ironic, Powerful, Serious",http://rovimusic.rovicorp.com/playback.mp3?c=ffr0lY01tlUrsGW65syIHpjWf7KriH64XH0cLbjLrOY=&f=J
MT0000729701,Eyehategod,30$ Bag,"Angry, Hostile, Malevolent, Menacing, Paranoid",http://rovimusic.rovicorp.com/playback.mp3?c=NuBIIIQ38Cv6a3Qrh3gQ8JjWf7KriH64XH0cLbjLrOY=&f=J
MT0000732821,Lutan Fyah,No Draw No Blood,"Angry, Bitter, Hostile",http://rovimusic.rovicorp.com/playback.mp3?c=IufBjv_2IhkzESw7QLsRkvKUU23ZQzDPVjJ3ONioHGo=&f=J
MT0000742898,Clifton Chenier,Ain't No Need of Crying (Every Day Is the Same/Louisiana Blues),"Greasy, Lazy, Spicy",http://rovimusic.rovicorp.com/playback.mp3?c=C-MmGHDgWJmsb5iI9yqgtv3pqi0RS20pHqZddGAWQOA=&f=J
MT0000746822,Cluster,Es War Einmal,"Calm, Neutral, Delicate, Ethereal, Reserved, Restrained, Soft, Quiet, Spacey, Sparkling",http://rovimusic.rovicorp.com/playback.mp3?c=1wSD9sMDk10nq-KU1UWvKPh0BJxFGWncDvRkmPV4knk=&f=J
MT0000762097,Bing Crosby,God Rest Ye Merry Gentleman,"Calm, Neutral, Delicate, Reserved, Reverent, Stately",http://rovimusic.rovicorp.com/playback.mp3?c=Now4yjt8tBuFlsGhuLER__QIxMnXLaW9NvEpt_rvU6E=&f=J
MT0000764951,Billie Holiday,Where Is the Sun?,"Autumnal, Bittersweet, Bleak, Delicate, Gloomy, Melancholy, Sad",http://rovimusic.rovicorp.com/playback.mp3?c=kBR9vgqCYOfMbVX0u-ob-vQIxMnXLaW9NvEpt_rvU6E=&f=J
MT0000796526,Los Dandy's,Yerba Mala,"Anguished, Distraught, Sad",http://rovimusic.rovicorp.com/playback.mp3?c=ZCMLg8hfp-y9C0g4EOY4yPh0BJxFGWncDvRkmPV4knk=&f=J
MT0000821772,The Sam Price Trio,This Train,"Joyous, Reverent, Spiritual",http://rovimusic.rovicorp.com/playback.mp3?c=eKKCcdZqJdmQ2b_7fgirVc2KXJKuJLE7UG4BJXcyKZ4=&f=J
MT0000888329,Bob Marley,Dreamland,"Atmospheric, Earnest, Earthy, Gentle, Intimate, Laid-Back, Mellow, Plaintive, Poignant, Sentimental, Soothing, Summery, Wistful, Yearning",http://rovimusic.rovicorp.com/playback.mp3?c=uqMJhEB89qXRFaVO1ve_7awfpsQHuOlGC4-o-yXc8Os=&f=J
MT0000901959,Common,Pops Rap III...All My Children,"Calm, Neutral, Cerebral, Nocturnal, Organic, Spiritual",http://rovimusic.rovicorp.com/playback.mp3?c=OQXuQqqoVY8NcH04uCYH_M2KXJKuJLE7UG4BJXcyKZ4=&f=J
MT0000922312,Sarah Brightman,Attesa,"Atmospheric, Elaborate, Epic, Indulgent, Lush, Precious, Sensual, Sprawling, Theatrical",http://rovimusic.rovicorp.com/playback.mp3?c=rNwxLn8JjJY8huu2YWAPD_3pqi0RS20pHqZddGAWQOA=&f=J
MT0000941301,Eddie Heywood,Trav'lin' Light,"Brooding, Delicate, Gloomy, Sad, Soft, Quiet, Weary",http://rovimusic.rovicorp.com/playback.mp3?c=TUpD-3WwJle1Q3Ikone1WPQIxMnXLaW9NvEpt_rvU6E=&f=I
MT0000949813,Enrique Morente,Mi Hora Mala Llego (Siguiriyas),"Lonely, Sad, Serious",http://rovimusic.rovicorp.com/playback.mp3?c=n_ABaOcwVSA6iPSdp1rBpPh0BJxFGWncDvRkmPV4knk=&f=I
MT0000956340,Xzibit,Break Yourself,"Cold, Hostile, Menacing, Reckless, Snide, Tense, Anxious, Thuggish, Uncompromising, Volatile",http://rovimusic.rovicorp.com/playback.mp3?c=XbUov7zTkAdQNH8vCvMaDfQIxMnXLaW9NvEpt_rvU6E=&f=J
MT0000971834,Peter Brötzmann,Fiddle-Faddle,"Cathartic, Complex, Fierce, Rebellious, Uncompromising, Unsettling, Volatile",http://rovimusic.rovicorp.com/playback.mp3?c=8MFLf5fQYswEKdmke93vXPKUU23ZQzDPVjJ3ONioHGo=&f=J
MT0000980148,Glenn Miller,The Booglie Wooglie Piggy,"Happy, Lush, Sparkling",http://rovimusic.rovicorp.com/playback.mp3?c=vKmzH0WkyDHDlqWNkuV0EM2KXJKuJLE7UG4BJXcyKZ4=&f=J
MT0000992846,Barenaked Ladies,Shoe Box,"Amiable, Good-Natured, Cheerful, Energetic, Fun, Happy, Innocent, Playful, Quirky, Silly, Witty",http://rovimusic.rovicorp.com/playback.mp3?c=RLbb04rU_Q3CHCICcI78Bc2KXJKuJLE7UG4BJXcyKZ4=&f=J
MT0001052263,Gene Ammons,Since I Fell for You,"Naive, Stately, Weary",http://rovimusic.rovicorp.com/playback.mp3?c=ZTPqNVgAjc6hNlF9OUWjFPKUU23ZQzDPVjJ3ONioHGo=&f=J
MT0001053268,Aretha Franklin,Gentle on My Mind,"Lively, Optimistic, Pulsing, Romantic, Strong",http://rovimusic.rovicorp.com/playback.mp3?c=0Lmy_uSvdlzSbbZpWKo4hGjIb8Tr8vVfGLIuM5x_WSg=&f=J
MT0001058887,Smokey Robinson,My Girl,"Amiable, Good-Natured, Bright, Carefree, Cheerful, Confident, Earnest, Elegant, Happy, Joyous, Laid-Back, Mellow, Poignant, Refined, Romantic, Sentimental, Smooth, Springlike, Stylish, Summery, Sweet, Warm",http://rovimusic.rovicorp.com/playback.mp3?c=aCfwFCt1XCt3ZQZ_F3dJA82KXJKuJLE7UG4BJXcyKZ4=&f=J
MT0001109401,Morcheeba,Moog Island,"Calm, Neutral, Detached, Hypnotic, Lush, Restrained, Soothing",http://rovimusic.rovicorp.com/playback.mp3?c=idK2vKIkegotOdhsvx85b82KXJKuJLE7UG4BJXcyKZ4=&f=J
MT0001189913,Kay Kyser,"(I Got Spurs That) Jingle, Jangle, Jingle","Happy, Humorous, Joyous, Rustic, Summery",http://rovimusic.rovicorp.com/playback.mp3?c=DXYizMacDwIHFbMfkC_SkfQIxMnXLaW9NvEpt_rvU6E=&f=J
MT0001193971,Travis Tritt,No Vacation from the Blues,"Anguished, Distraught, Rowdy",http://rovimusic.rovicorp.com/playback.mp3?c=4N1DltlBeOZq-3upwZPEMM2KXJKuJLE7UG4BJXcyKZ4=&f=J
MT0001195535,Willie Nelson,I've Loved You All Over the World,"Carefree, Cheerful, Dreamy, Nostalgic, Optimistic, Positive, Striding, Sweet, Swinging",http://rovimusic.rovicorp.com/playback.mp3?c=c5KZxaFKTi7Mm6O3r-j6rvKUU23ZQzDPVjJ3ONioHGo=&f=J
MT0001217651,Choppa,Choppa Style,"Happy, Rousing, Sexual, Swaggering",http://rovimusic.rovicorp.com/playback.mp3?c=i3Gf4b1g3H0KuRefG16CdKwfpsQHuOlGC4-o-yXc8Os=&f=J
MT0001236649,The Black Crowes,Shape of Things to Come,"Boisterous, Lively, Powerful, Strong",http://rovimusic.rovicorp.com/playback.mp3?c=q3FAXz2gkRVTRGqvpMQREvKUU23ZQzDPVjJ3ONioHGo=&f=J
MT0001284801,Billie Holiday,Jim,"Gloomy, Restrained, Sad, Somber, Weary",http://rovimusic.rovicorp.com/playback.mp3?c=SCWTBe6v5Dh36QEGmsjKqv3pqi0RS20pHqZddGAWQOA=&f=I
MT0001333258,The Dramatics,Beware of the Man (With the Candy in His Hand),"Anguished, Distraught, Ominous",http://rovimusic.rovicorp.com/playback.mp3?c=t5T_qHyTxPTAISdi4bLvg_QIxMnXLaW9NvEpt_rvU6E=&f=J
MT0001335920,The Allman Brothers Band,Long Time Gone,"Cheerful, Nostalgic, Positive, Romantic",http://rovimusic.rovicorp.com/playback.mp3?c=izNbo0Ynmttdh28lLI93nfQIxMnXLaW9NvEpt_rvU6E=&f=J
MT0001340713,Oscar D'León,Mírala Como Se Menea,"Exciting, Sparkling, Spicy",http://rovimusic.rovicorp.com/playback.mp3?c=xkAYWaVwYmB2VCnLAJoBiawfpsQHuOlGC4-o-yXc8Os=&f=J
MT0001376988,Crucifucks,Lights Over Baghdad,"Cynical, Sarcastic, Nihilistic, Outrageous, Reckless, Snide, Trashy",http://rovimusic.rovicorp.com/playback.mp3?c=G3GhzfIEHIwlQtLK7FgXU4apJnH0KBK7tayJ1L1z1aM=&f=J
MT0001394087,Joe Pass,Misty,"Complex, Elegant, Innocent, Intimate, Light, Organic, Passionate, Refined, Smooth, Sophisticated, Sparkling, Stylish, Warm",http://rovimusic.rovicorp.com/playback.mp3?c=6L_8xF5vMQnxAx_Ai4-PHDqpU4hxl5saPDaNIVORh-E=&f=J
MT0001418045,John Mayall,She's Too Young,"Euphoric, Explosive, Lively, Swinging, Thrilling",http://rovimusic.rovicorp.com/playback.mp3?c=l6kVeirfh9w9dEQJC9tylKwfpsQHuOlGC4-o-yXc8Os=&f=J
MT0001419145,High Contrast,Only Two Can Play,"Explosive, Nervous, Jittery",http://rovimusic.rovicorp.com/playback.mp3?c=nBdeo-6ZFpFWMgAwGr31B2jIb8Tr8vVfGLIuM5x_WSg=&f=J
MT0001438043,Jack DeJohnette,All My Tomorrows,"Carefree, Delicate, Elaborate, Innocent, Literate, Nostalgic, Precious, Self-Conscious, Stately, Street-Smart, Witty, Wry",http://rovimusic.rovicorp.com/playback.mp3?c=yCMHMfX8UJn6nslI-bD-KPh0BJxFGWncDvRkmPV4knk=&f=J
MT0001472536,Jimmy Reed,Left Handed Woman,"Greasy, Lazy, Messy, Sparse, Weary",http://rovimusic.rovicorp.com/playback.mp3?c=ciHXx2k7I5kruFiUFIfipPKUU23ZQzDPVjJ3ONioHGo=&f=J
MT0001494812,New Edition,Can You Stand the Rain,"Amiable, Good-Natured, Bittersweet, Bright, Brooding, Calm, Neutral, Gentle, Innocent, Intimate, Laid-Back, Mellow, Light, Melancholy, Plaintive, Poignant, Reflective, Romantic, Sensual, Sentimental, Soothing, Sweet, Wistful, Yearning",http://rovimusic.rovicorp.com/playback.mp3?c=xnKTKrnDIQDBI1pZCYtpdfKUU23ZQzDPVjJ3ONioHGo=&f=J
MT0001511433,Bobbie Nelson,O Little Town of Bethlehem,"Amiable, Good-Natured, Earthy, Gentle, Innocent, Intimate, Light, Precious, Refined, Relaxed, Reserved, Reverent, Sentimental, Soft, Quiet, Warm",http://rovimusic.rovicorp.com/playback.mp3?c=rrzD8-R9eMP9XYGRRq8wy82KXJKuJLE7UG4BJXcyKZ4=&f=J
MT0001515531,McCoy Tyner,Comtemplation,"Cerebral, Clinical, Complex, Reserved",http://rovimusic.rovicorp.com/playback.mp3?c=oMDKYKAEKUMcY8f8rhhl_ZjWf7KriH64XH0cLbjLrOY=&f=J
MT0001521543,Elmore James,Shake Your Moneymaker,"Confident, Earthy, Exciting, Fiery, Gritty, Intense, Joyous, Lively, Passionate, Rollicking, Rousing, Swaggering, Urgent",http://rovimusic.rovicorp.com/playback.mp3?c=qtmD5YiRdskvPn5onYFy1DqpU4hxl5saPDaNIVORh-E=&f=J
MT0001523435,Billie Holiday,I Gotta Right to Sing the Blues,"Bitter, Brooding, Nocturnal, Sad, Somber, Weary",http://rovimusic.rovicorp.com/playback.mp3?c=FlOokEhir2hj13NlWgiKqPKUU23ZQzDPVjJ3ONioHGo=&f=J
MT0001526386,Big Maceo Merriweather,I Lost My Woman,"Anguished, Distraught, Bitter, Lazy",http://rovimusic.rovicorp.com/playback.mp3?c=2ULKQI6JCCNRi7ZSoAyUIPQIxMnXLaW9NvEpt_rvU6E=&f=J
MT0001533920,Raymond Scott,Bumpy Weather Over Newark,"Complex, Difficult, Eccentric, Exciting, Manic",http://rovimusic.rovicorp.com/playback.mp3?c=eL4OVk18KX9lhN8GaIy3soapJnH0KBK7tayJ1L1z1aM=&f=J
MT0001542676,Fennesz,Château Rouge,"Cerebral, Clinical, Complex, Difficult, Elaborate, Intense, Restrained",http://rovimusic.rovicorp.com/playback.mp3?c=dEFGgoGC_6XhApAjO5HxH_QIxMnXLaW9NvEpt_rvU6E=&f=J
MT0001583214,Seether,Fmlyhm,"Angst-Ridden, Anguished, Distraught, Cathartic, Gloomy, Ominous, Sleazy, Tense, Anxious",http://rovimusic.rovicorp.com/playback.mp3?c=CHcT5UNqpYA25sEUmz6YsawfpsQHuOlGC4-o-yXc8Os=&f=J
MT0001586807,Stan Kenton,Cuban Carnival,"Exciting, Joyous, Sparkling",http://rovimusic.rovicorp.com/playback.mp3?c=59cTN84JMSN_ehCYRi9jXc2KXJKuJLE7UG4BJXcyKZ4=&f=I
MT0001594582,Maria Muldaur,I'll Be Your Baby Tonight,"Cheerful, Delicate, Earthy, Gentle, Organic, Refined, Sweet",http://rovimusic.rovicorp.com/playback.mp3?c=orVfeQ5PSNkHEDhU6Oa8KWjIb8Tr8vVfGLIuM5x_WSg=&f=J
MT0001605268,Tom Jones,It's Not Unusual,"Bravado, Campy, Dramatic, Energetic, Lively, Melancholy, Passionate, Playful, Rousing, Swaggering, Yearning",http://rovimusic.rovicorp.com/playback.mp3?c=Ssf_YcBoI5p4rPYS_2gJpKwfpsQHuOlGC4-o-yXc8Os=&f=J
MT0001613887,...And Oceans,Of Devilish Tongues,"Negative, Nervous, Jittery",http://rovimusic.rovicorp.com/playback.mp3?c=GLHU-tudo0q1DHM-Oumzt82KXJKuJLE7UG4BJXcyKZ4=&f=J
MT0001615005,Silverstein,Worlds Apart,"Angst-Ridden, Anguished, Distraught, Hostile, Tragic",http://rovimusic.rovicorp.com/playback.mp3?c=WTNl0PMOjmbhROLh4EqSXWjIb8Tr8vVfGLIuM5x_WSg=&f=J
MT0001624303,Rod Stewart,Thanks for the Memory,"Amiable, Good-Natured, Innocent, Laid-Back, Mellow, Light, Nostalgic, Plaintive, Poignant, Romantic, Wistful",http://rovimusic.rovicorp.com/playback.mp3?c=QPD_D5XWEF9IKoVap3dqADqpU4hxl5saPDaNIVORh-E=&f=J
MT0001641228,Percy Faith,Sound of Music,"Atmospheric, Lush, Soft, Quiet, Soothing, Sweet",http://rovimusic.rovicorp.com/playback.mp3?c=i7d9jiHmTv_8jr0ufUjHKvKUU23ZQzDPVjJ3ONioHGo=&f=J
MT0001661022,Les Brown,The Christmas Song,"Calm, Neutral, Delicate, Happy, Precious",http://rovimusic.rovicorp.com/playback.mp3?c=FRN7MypevMUe2tc3r28hW2jIb8Tr8vVfGLIuM5x_WSg=&f=J
MT0001671399,Jimmy Buffett,Caribbean Amphibian,"Happy, Rousing, Uplifting",http://rovimusic.rovicorp.com/playback.mp3?c=yzQnheaQh09ZNjiWZI08dYapJnH0KBK7tayJ1L1z1aM=&f=J
MT0001673884,Jon Hendricks,Since I Fell for You,"Austere, Cynical, Sarcastic, Gloomy, Indulgent",http://rovimusic.rovicorp.com/playback.mp3?c=FOESvH9i1i7gPCA3W5d-sjqpU4hxl5saPDaNIVORh-E=&f=J
MT0001676671,Gloria Estefan,Mi Buen Amor,"Calm, Neutral, Earthy, Elegant, Light, Passionate, Precious, Refined, Relaxed, Reserved, Restrained, Romantic, Sweet",http://rovimusic.rovicorp.com/playback.mp3?c=RDKH-_bgF_BmSU5zoQnROPQIxMnXLaW9NvEpt_rvU6E=&f=J
MT0001680969,Little Brother,The Becoming,"Fiery, Humorous, Provocative, Witty",http://rovimusic.rovicorp.com/playback.mp3?c=w_zbP4_rYe8ZljN0wgkER_QIxMnXLaW9NvEpt_rvU6E=&f=J
MT0001703346,Cal Tjader,Tumbao,"Complex, Exciting, Spicy",http://rovimusic.rovicorp.com/playback.mp3?c=UbyX3dDSzR1zkYKWun9Kg4apJnH0KBK7tayJ1L1z1aM=&f=J
MT0001753457,Sidney Bechet,"Mandy, Make up Your Mind","Campy, Exciting, Giddy, Gleeful, Happy, Intense, Joyous, Rollicking, Spicy, Urgent",http://rovimusic.rovicorp.com/playback.mp3?c=ksshF2jO-NaDVzcKGR26EJjWf7KriH64XH0cLbjLrOY=&f=J
